fokus,topik,bahasa,level_bloom,pertanyaan,input_text,target_text
Business Intelligence,Data Modeling Snowflake Schema,Indonesian,Applying,"Sebuah perusahaan retail memiliki dimensi produk dengan kategori, subkategori, dan merek. Rancang struktur snowflake schema untuk dimensi produk ini dengan menunjukkan tabel-tabel yang dinormalisasi beserta relasinya.","Level: Applying
Topik: Data Modeling Snowflake Schema
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Sebuah perusahaan retail memiliki dimensi produk dengan kategori, subkategori, dan merek. Rancang struktur snowflake schema untuk dimensi produk ini dengan menunjukkan tabel-tabel yang dinormalisasi beserta relasinya."
Matematika Diskrit,Sistem Kongruensi,Indonesian,Understanding,Jelaskan bagaimana Teorema Sisa Cina (Chinese Remainder Theorem) membantu menyelesaikan sistem kongruensi dengan modulus yang relatif prima.,"Level: Understanding
Topik: Sistem Kongruensi
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan bagaimana Teorema Sisa Cina (Chinese Remainder Theorem) membantu menyelesaikan sistem kongruensi dengan modulus yang relatif prima.
Sistem Operasi,Threads dan Synchronization,English,Understanding,Explain the difference between a mutex and a semaphore in the context of thread synchronization.,"Level: Understanding
Topik: Threads dan Synchronization
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain the difference between a mutex and a semaphore in the context of thread synchronization.
Server Side,Server Side Input Validation,English,Evaluating,Compare whitelist validation versus blacklist validation approaches for server-side input validation. Which approach is more secure and why?,"Level: Evaluating
Topik: Server Side Input Validation
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Compare whitelist validation versus blacklist validation approaches for server-side input validation. Which approach is more secure and why?
IT Project Management,Hybrid Project Management,English,Analyzing,A company is experiencing delays because their hybrid approach uses Waterfall for planning but Agile sprints for execution. Analyze what might be causing the disconnect and identify potential issues in this structure.,"Level: Analyzing
Topik: Hybrid Project Management
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A company is experiencing delays because their hybrid approach uses Waterfall for planning but Agile sprints for execution. Analyze what might be causing the disconnect and identify potential issues in this structure.
NLP,Masked Language Modeling,English,Analyzing,Compare and contrast the masking strategies used in BERT (random masking) versus SpanBERT (span masking). What are the advantages of each approach?,"Level: Analyzing
Topik: Masked Language Modeling
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Compare and contrast the masking strategies used in BERT (random masking) versus SpanBERT (span masking). What are the advantages of each approach?
Web Development,JWT Authentication,English,Creating,"Design a secure JWT refresh token mechanism that minimizes security risks while maintaining good user experience. Include token expiration strategy, storage approach, and rotation policy.","Level: Creating
Topik: JWT Authentication
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a secure JWT refresh token mechanism that minimizes security risks while maintaining good user experience. Include token expiration strategy, storage approach, and rotation policy."
IT Project Management,Project Performance Metrics,Indonesian,Analyzing,"Sebuah proyek pengembangan perangkat lunak menunjukkan CPI sebesar 0,85 dan SPI sebesar 1,10. Analisis apa yang diungkapkan oleh metrik-metrik ini tentang kesehatan proyek dan identifikasi potensi masalah yang mendasarinya.","Level: Analyzing
Topik: Project Performance Metrics
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Sebuah proyek pengembangan perangkat lunak menunjukkan CPI sebesar 0,85 dan SPI sebesar 1,10. Analisis apa yang diungkapkan oleh metrik-metrik ini tentang kesehatan proyek dan identifikasi potensi masalah yang mendasarinya."
Cybersecurity,Password Hashing,English,Applying,"A company stores user passwords using MD5 hashing. Given the known vulnerabilities of MD5, what hashing algorithm should they migrate to and what steps should they take during the transition?","Level: Applying
Topik: Password Hashing
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A company stores user passwords using MD5 hashing. Given the known vulnerabilities of MD5, what hashing algorithm should they migrate to and what steps should they take during the transition?"
NLP,Machine Translation,Indonesian,Remembering,Apa tujuan utama dari machine translation dalam NLP?,"Level: Remembering
Topik: Machine Translation
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa tujuan utama dari machine translation dalam NLP?
NLP,Masked Language Modeling,English,Understanding,Explain how the masking mechanism works in BERT's pre-training process.,"Level: Understanding
Topik: Masked Language Modeling
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how the masking mechanism works in BERT's pre-training process.
IT Project Management,Project Scope Management,English,Understanding,What are effective strategies for improving user input during scope definition?,"Level: Understanding
Topik: Project Scope Management
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What are effective strategies for improving user input during scope definition?
Database,Normalization 1NF 2NF 3NF,Indonesian,Remembering,Apa saja tiga syarat utama yang harus dipenuhi agar sebuah tabel berada dalam First Normal Form (1NF)?,"Level: Remembering
Topik: Normalization 1NF 2NF 3NF
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa saja tiga syarat utama yang harus dipenuhi agar sebuah tabel berada dalam First Normal Form (1NF)?
IT Project Management,PMBOK Knowledge Areas,Indonesian,Analyzing,Analisis bagaimana praktik Risk Management yang buruk dalam proyek konstruksi dapat berdampak negatif terhadap Knowledge Area Cost Management dan Schedule Management.,"Level: Analyzing
Topik: PMBOK Knowledge Areas
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Analisis bagaimana praktik Risk Management yang buruk dalam proyek konstruksi dapat berdampak negatif terhadap Knowledge Area Cost Management dan Schedule Management.
Backend Python,Async FastAPI,English,Applying,You have a FastAPI endpoint that needs to fetch data from three external APIs simultaneously. Write an async route handler using `asyncio.gather()` to make these requests concurrently.,"Level: Applying
Topik: Async FastAPI
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",You have a FastAPI endpoint that needs to fetch data from three external APIs simultaneously. Write an async route handler using `asyncio.gather()` to make these requests concurrently.
Business Intelligence,KPI Definition and Measurement,Indonesian,Applying,Sebuah perusahaan ritel ingin mengukur kepuasan pelanggan. Definisikan KPI spesifik beserta metode pengukuran dan target nilainya.,"Level: Applying
Topik: KPI Definition and Measurement
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebuah perusahaan ritel ingin mengukur kepuasan pelanggan. Definisikan KPI spesifik beserta metode pengukuran dan target nilainya.
Next.js,Next.js Streaming and Suspense,English,Applying,You have a Next.js page that fetches user data and product recommendations. Implement Suspense boundaries to show loading states for each section independently.,"Level: Applying
Topik: Next.js Streaming and Suspense
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",You have a Next.js page that fetches user data and product recommendations. Implement Suspense boundaries to show loading states for each section independently.
NLP,Tokenization Techniques,Indonesian,Applying,"Diberikan kalimat 'Kucing itu berlari dengan cepat', terapkan tokenisasi berbasis whitespace dan identifikasi token yang dihasilkan.","Level: Applying
Topik: Tokenization Techniques
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Diberikan kalimat 'Kucing itu berlari dengan cepat', terapkan tokenisasi berbasis whitespace dan identifikasi token yang dihasilkan."
Flutter,Flutter FutureBuilder,Indonesian,Remembering,Apa fungsi utama dari FutureBuilder dalam Flutter?,"Level: Remembering
Topik: Flutter FutureBuilder
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi utama dari FutureBuilder dalam Flutter?
Flutter,Flutter Platform Channels,Indonesian,Remembering,Apa fungsi utama dari Platform Channels dalam Flutter?,"Level: Remembering
Topik: Flutter Platform Channels
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi utama dari Platform Channels dalam Flutter?
Software Engineering,Domain-Driven Design,Indonesian,Evaluating,"Dua tim mengusulkan pendekatan berbeda: satu tim ingin model tunggal yang terpadu di semua departemen, sementara tim lain menyarankan bounded context terpisah. Pendekatan mana yang lebih sesuai dengan prinsip DDD dan mengapa?","Level: Evaluating
Topik: Domain-Driven Design
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Dua tim mengusulkan pendekatan berbeda: satu tim ingin model tunggal yang terpadu di semua departemen, sementara tim lain menyarankan bounded context terpisah. Pendekatan mana yang lebih sesuai dengan prinsip DDD dan mengapa?"
Business Intelligence,Data Cleaning Techniques,Indonesian,Remembering,Apa tujuan dari data cleaning dalam Business Intelligence?,"Level: Remembering
Topik: Data Cleaning Techniques
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa tujuan dari data cleaning dalam Business Intelligence?
Data Structures,Binary Tree,English,Evaluating,"Compare the time complexity of searching for an element in a balanced binary search tree versus an unbalanced one. Which structure would you recommend for a real-time application that requires frequent searches, and why?","Level: Evaluating
Topik: Binary Tree
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Compare the time complexity of searching for an element in a balanced binary search tree versus an unbalanced one. Which structure would you recommend for a real-time application that requires frequent searches, and why?"
Business Intelligence,Real-Time Analytics,English,Understanding,Explain how real-time analytics differs from traditional batch processing in terms of data processing speed and business value.,"Level: Understanding
Topik: Real-Time Analytics
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how real-time analytics differs from traditional batch processing in terms of data processing speed and business value.
Blockchain,Token Standards ERC-20,English,Creating,"Design an extension to the ERC-20 standard that adds a time-lock feature, where tokens can be transferred but cannot be spent until a specific timestamp. Outline the additional functions and events needed.","Level: Creating
Topik: Token Standards ERC-20
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design an extension to the ERC-20 standard that adds a time-lock feature, where tokens can be transferred but cannot be spent until a specific timestamp. Outline the additional functions and events needed."
Python Control Flow,Python Break and Continue,Indonesian,Remembering,Apa fungsi dari statement break dalam perulangan Python?,"Level: Remembering
Topik: Python Break and Continue
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi dari statement break dalam perulangan Python?
Python,Python __slots__,Indonesian,Analyzing,Bandingkan trade-off antara penggunaan __slots__ dengan pendekatan __dict__ default. Dalam kondisi apa penggunaan __slots__ menjadi tidak menguntungkan?,"Level: Analyzing
Topik: Python __slots__
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Bandingkan trade-off antara penggunaan __slots__ dengan pendekatan __dict__ default. Dalam kondisi apa penggunaan __slots__ menjadi tidak menguntungkan?
Deep Learning,Activation Functions,English,Understanding,Explain why the vanishing gradient problem occurs when using sigmoid activation functions in deep neural networks.,"Level: Understanding
Topik: Activation Functions
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain why the vanishing gradient problem occurs when using sigmoid activation functions in deep neural networks.
Web Development,HTTP Status Codes,Indonesian,Applying,"Seorang pengguna mencoba mengakses artikel blog yang sudah dihapus di website Anda. Status code HTTP apa yang seharusnya dikembalikan oleh server, dan mengapa?","Level: Applying
Topik: HTTP Status Codes
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Seorang pengguna mencoba mengakses artikel blog yang sudah dihapus di website Anda. Status code HTTP apa yang seharusnya dikembalikan oleh server, dan mengapa?"
IT Project Management,Project Scope Management,Indonesian,Evaluating,"Dua proyek mengalami scope creep: Proyek A menggunakan prosedur change control formal, sedangkan Proyek B menangani perubahan secara informal melalui persetujuan email. Evaluasi pendekatan mana yang lebih mungkin berhasil dan berikan alasan Anda.","Level: Evaluating
Topik: Project Scope Management
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Dua proyek mengalami scope creep: Proyek A menggunakan prosedur change control formal, sedangkan Proyek B menangani perubahan secara informal melalui persetujuan email. Evaluasi pendekatan mana yang lebih mungkin berhasil dan berikan alasan Anda."
Next.js,Next.js Image Optimization,Indonesian,Understanding,Jelaskan bagaimana komponen Image Next.js secara otomatis mengoptimasi gambar untuk berbagai ukuran perangkat.,"Level: Understanding
Topik: Next.js Image Optimization
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan bagaimana komponen Image Next.js secara otomatis mengoptimasi gambar untuk berbagai ukuran perangkat.
Python Data,Pandas Window Functions,Indonesian,Remembering,Apa fungsi dari rolling() dalam Pandas?,"Level: Remembering
Topik: Pandas Window Functions
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi dari rolling() dalam Pandas?
Database,SQL Join,Indonesian,Analyzing,"Sebuah query menggunakan LEFT JOIN menghasilkan 500 baris, sedangkan query yang sama menggunakan INNER JOIN menghasilkan 350 baris. Apa yang ditunjukkan oleh perbedaan ini tentang relasi antara kedua tabel tersebut?","Level: Analyzing
Topik: SQL Join
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Sebuah query menggunakan LEFT JOIN menghasilkan 500 baris, sedangkan query yang sama menggunakan INNER JOIN menghasilkan 350 baris. Apa yang ditunjukkan oleh perbedaan ini tentang relasi antara kedua tabel tersebut?"
IT Project Management,Project Performance Metrics,English,Remembering,What are the three main categories of project performance metrics (triple constraint)?,"Level: Remembering
Topik: Project Performance Metrics
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What are the three main categories of project performance metrics (triple constraint)?
Python Data,NumPy Memory Layout,English,Creating,Design a memory-efficient data processing pipeline that handles both image data (naturally row-major) and scientific simulation results (naturally column-major). Propose a strategy for managing memory layouts to optimize overall performance.,"Level: Creating
Topik: NumPy Memory Layout
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Design a memory-efficient data processing pipeline that handles both image data (naturally row-major) and scientific simulation results (naturally column-major). Propose a strategy for managing memory layouts to optimize overall performance.
Python,Python Dataclasses,Indonesian,Creating,"Rancang hierarki dataclass untuk sistem e-commerce yang mencakup class Product, DigitalProduct, dan PhysicalProduct. Implementasikan inheritance, default values, dan post-init processing untuk menghitung biaya pengiriman untuk produk fisik.","Level: Creating
Topik: Python Dataclasses
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang hierarki dataclass untuk sistem e-commerce yang mencakup class Product, DigitalProduct, dan PhysicalProduct. Implementasikan inheritance, default values, dan post-init processing untuk menghitung biaya pengiriman untuk produk fisik."
Information Retrieval,NDCG Evaluation,Indonesian,Remembering,Apa kepanjangan dari NDCG dan apa yang diukur dalam information retrieval?,"Level: Remembering
Topik: NDCG Evaluation
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa kepanjangan dari NDCG dan apa yang diukur dalam information retrieval?
Flutter,Flutter Secure Storage,English,Analyzing,"A Flutter app stores sensitive user credentials using Flutter Secure Storage, but users report that data is lost after app updates on Android. Analyze the potential causes and identify which storage backend might be affected.","Level: Analyzing
Topik: Flutter Secure Storage
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A Flutter app stores sensitive user credentials using Flutter Secure Storage, but users report that data is lost after app updates on Android. Analyze the potential causes and identify which storage backend might be affected."
Backend Python,Django Middleware,Indonesian,Analyzing,"Sebuah aplikasi Django mengalami masalah performa. Setelah investigasi, ditemukan bahwa SecurityMiddleware, SessionMiddleware, dan custom AuthenticationMiddleware telah dikonfigurasi. Analisis bagaimana urutan middleware dapat mempengaruhi performa dan identifikasi potensi bottleneck yang ada.","Level: Analyzing
Topik: Django Middleware
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Sebuah aplikasi Django mengalami masalah performa. Setelah investigasi, ditemukan bahwa SecurityMiddleware, SessionMiddleware, dan custom AuthenticationMiddleware telah dikonfigurasi. Analisis bagaimana urutan middleware dapat mempengaruhi performa dan identifikasi potensi bottleneck yang ada."
Data Structures,Deque,English,Analyzing,A browser's back-forward navigation system needs to support moving both backward and forward through history. Analyze why a deque would be more suitable than using two separate stacks for this implementation.,"Level: Analyzing
Topik: Deque
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A browser's back-forward navigation system needs to support moving both backward and forward through history. Analyze why a deque would be more suitable than using two separate stacks for this implementation.
Computer & Society,Professional Ethics,English,Analyzing,How do professional codes of ethics influence your activities in your field of study or work?,"Level: Analyzing
Topik: Professional Ethics
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",How do professional codes of ethics influence your activities in your field of study or work?
Operating Systems,Threads and Synchronization,English,Remembering,"In Windows, where is user stack information stored?","Level: Remembering
Topik: Threads and Synchronization
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","In Windows, where is user stack information stored?"
IT Project Management,Project Performance Metrics,Indonesian,Creating,Rancang sebuah dashboard kinerja komprehensif untuk proyek migrasi infrastruktur IT yang mencakup minimal 5 metrik kunci di luar triple constraint tradisional. Jelaskan bagaimana setiap metrik berkontribusi terhadap visibilitas proyek secara keseluruhan.,"Level: Creating
Topik: Project Performance Metrics
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Rancang sebuah dashboard kinerja komprehensif untuk proyek migrasi infrastruktur IT yang mencakup minimal 5 metrik kunci di luar triple constraint tradisional. Jelaskan bagaimana setiap metrik berkontribusi terhadap visibilitas proyek secara keseluruhan.
Python Data,Pandas Merge and Join,English,Remembering,What are the four main types of join operations available in pandas?,"Level: Remembering
Topik: Pandas Merge and Join
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What are the four main types of join operations available in pandas?
Sistem Interaksi,Pengumpulan Data,English,Analyzing,Compare the advantages and limitations of using surveys versus interviews for collecting user feedback on a new e-commerce platform.,"Level: Analyzing
Topik: Pengumpulan Data
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Compare the advantages and limitations of using surveys versus interviews for collecting user feedback on a new e-commerce platform.
Komputer & Masyarakat,Technology & Society,Indonesia,Evaluating,"Bagaimana sudut pandang pemerintah, profesional, atau masyarakat memengaruhi identifikasi suatu isu teknologi?","Level: Evaluating
Topik: Technology & Society
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Bagaimana sudut pandang pemerintah, profesional, atau masyarakat memengaruhi identifikasi suatu isu teknologi?"
Web Development,Rate Limiting,English,Remembering,What is rate limiting in web development?,"Level: Remembering
Topik: Rate Limiting
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is rate limiting in web development?
Manajemen Sistem Informasi,IS in Global Business,English,Remembering,What are the main challenges that companies face when implementing information systems across different countries?,"Level: Remembering
Topik: IS in Global Business
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What are the main challenges that companies face when implementing information systems across different countries?
Server Side,Session Management,English,Analyzing,"A company's e-commerce site experiences frequent session hijacking attacks. Analyze how implementing HTTPS, secure session tokens, and HttpOnly cookies would address different aspects of this security vulnerability.","Level: Analyzing
Topik: Session Management
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A company's e-commerce site experiences frequent session hijacking attacks. Analyze how implementing HTTPS, secure session tokens, and HttpOnly cookies would address different aspects of this security vulnerability."
Business Intelligence,Descriptive Analytics,English,Remembering,What is the primary purpose of descriptive analytics in business intelligence?,"Level: Remembering
Topik: Descriptive Analytics
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the primary purpose of descriptive analytics in business intelligence?
Distributed Systems,Service Discovery,English,Evaluating,"A startup is deciding between using DNS-based service discovery (like Kubernetes DNS) versus a dedicated service registry (like Consul). Given that they have 20 microservices with frequent scaling events, which approach would be more suitable and why?","Level: Evaluating
Topik: Service Discovery
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A startup is deciding between using DNS-based service discovery (like Kubernetes DNS) versus a dedicated service registry (like Consul). Given that they have 20 microservices with frequent scaling events, which approach would be more suitable and why?"
Sistem Interaksi,Evaluasi Desain Interaksi,English,Applying,You are evaluating a mobile banking app. Apply heuristic evaluation to identify potential usability issues in the login process.,"Level: Applying
Topik: Evaluasi Desain Interaksi
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",You are evaluating a mobile banking app. Apply heuristic evaluation to identify potential usability issues in the login process.
Information Retrieval,BM25,English,Remembering,What does BM25 stand for and what is its primary purpose in information retrieval?,"Level: Remembering
Topik: BM25
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What does BM25 stand for and what is its primary purpose in information retrieval?
Algorithms,Divide and Conquer,English,Evaluating,A developer claims that divide and conquer is always the best approach for sorting algorithms. Evaluate this statement by considering scenarios where divide and conquer may not be optimal.,"Level: Evaluating
Topik: Divide and Conquer
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",A developer claims that divide and conquer is always the best approach for sorting algorithms. Evaluate this statement by considering scenarios where divide and conquer may not be optimal.
Software Engineering,Observer Pattern,English,Remembering,What are the main components of the Observer Pattern?,"Level: Remembering
Topik: Observer Pattern
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What are the main components of the Observer Pattern?
Web Development,Server-Sent Events,English,Remembering,What is the MIME type used for Server-Sent Events?,"Level: Remembering
Topik: Server-Sent Events
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the MIME type used for Server-Sent Events?
IT Project Management,Technical Debt Management,English,Applying,"A development team has identified three areas of technical debt: outdated dependencies (estimated 40 hours to fix), poorly documented code (estimated 60 hours), and duplicated business logic (estimated 80 hours). They have 100 hours available this quarter. Which technical debt should they prioritize and why?","Level: Applying
Topik: Technical Debt Management
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","A development team has identified three areas of technical debt: outdated dependencies (estimated 40 hours to fix), poorly documented code (estimated 60 hours), and duplicated business logic (estimated 80 hours). They have 100 hours available this quarter. Which technical debt should they prioritize and why?"
Business Intelligence,ELT Architecture,Indonesian,Applying,Sebuah perusahaan memiliki data penjualan mentah dari berbagai sumber yang perlu dimuat ke dalam cloud data warehouse. Jelaskan bagaimana Anda akan mengimplementasikan pipeline ELT untuk skenario ini.,"Level: Applying
Topik: ELT Architecture
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Sebuah perusahaan memiliki data penjualan mentah dari berbagai sumber yang perlu dimuat ke dalam cloud data warehouse. Jelaskan bagaimana Anda akan mengimplementasikan pipeline ELT untuk skenario ini.
Python Control Flow,Python Pass Statement,Indonesian,Evaluating,Seorang developer berpendapat bahwa penggunaan statement pass dalam kode produksi adalah praktik yang buruk dan harus diganti dengan implementasi nyata atau dihapus sepenuhnya. Apakah Anda setuju atau tidak setuju? Berikan justifikasi dengan skenario spesifik.,"Level: Evaluating
Topik: Python Pass Statement
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Seorang developer berpendapat bahwa penggunaan statement pass dalam kode produksi adalah praktik yang buruk dan harus diganti dengan implementasi nyata atau dihapus sepenuhnya. Apakah Anda setuju atau tidak setuju? Berikan justifikasi dengan skenario spesifik.
Python Control Flow,Python Break and Continue,English,Applying,"Write a Python program that uses a break statement to exit a loop when a user enters 'quit', and uses continue to skip processing negative numbers in a list.","Level: Applying
Topik: Python Break and Continue
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Write a Python program that uses a break statement to exit a loop when a user enters 'quit', and uses continue to skip processing negative numbers in a list."
Sistem Interaksi,Prinsip-Prinsip Kognisi dalam Desain Interaksi,English,Understanding,Explain how the concept of mental models influences user interaction with digital interfaces.,"Level: Understanding
Topik: Prinsip-Prinsip Kognisi dalam Desain Interaksi
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Explain how the concept of mental models influences user interaction with digital interfaces.
Database,Normalization 1NF 2NF 3NF,Indonesian,Applying,"Sebuah tabel memiliki kolom: StudentID, StudentName, Courses (berisi 'Math, Physics, Chemistry'). Ubah tabel ini ke bentuk 1NF.","Level: Applying
Topik: Normalization 1NF 2NF 3NF
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Sebuah tabel memiliki kolom: StudentID, StudentName, Courses (berisi 'Math, Physics, Chemistry'). Ubah tabel ini ke bentuk 1NF."
Algorithms,Dynamic Programming,English,Creating,"Design a dynamic programming algorithm to solve the following problem: Given a string, find the length of the longest palindromic subsequence. Provide the recurrence relation and explain your approach.","Level: Creating
Topik: Dynamic Programming
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Design a dynamic programming algorithm to solve the following problem: Given a string, find the length of the longest palindromic subsequence. Provide the recurrence relation and explain your approach."
Manajemen Bisnis,Strategi Bisnis,Indonesia,Creating,Susun rencana tindakan untuk mencapai tujuan bisnis tersebut.,"Level: Creating
Topik: Strategi Bisnis
Bahasa: Indonesia
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Susun rencana tindakan untuk mencapai tujuan bisnis tersebut.
Business Intelligence,Data Lake Architecture,Indonesian,Creating,"Rancang arsitektur data lake untuk organisasi kesehatan yang perlu mengintegrasikan rekam medis pasien, medical imaging, data perangkat IoT, dan dataset penelitian dengan tetap memastikan kepatuhan HIPAA dan kemampuan analitik yang efisien.","Level: Creating
Topik: Data Lake Architecture
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom","Rancang arsitektur data lake untuk organisasi kesehatan yang perlu mengintegrasikan rekam medis pasien, medical imaging, data perangkat IoT, dan dataset penelitian dengan tetap memastikan kepatuhan HIPAA dan kemampuan analitik yang efisien."
Next.js,Next.js getStaticProps,Indonesian,Remembering,Apa fungsi utama dari getStaticProps di Next.js?,"Level: Remembering
Topik: Next.js getStaticProps
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Apa fungsi utama dari getStaticProps di Next.js?
Manajemen Sistem Informasi,Securing Information Systems,English,Remembering,What is the primary purpose of a firewall in information system security?,"Level: Remembering
Topik: Securing Information Systems
Bahasa: English
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",What is the primary purpose of a firewall in information system security?
Server Side,Load Balancing Strategy,Indonesian,Understanding,Jelaskan bagaimana load balancing round-robin mendistribusikan permintaan yang masuk ke beberapa server.,"Level: Understanding
Topik: Load Balancing Strategy
Bahasa: Indonesian
Tugas: Buat pertanyaan baru sesuai dengan topik dan level taksonomi bloom",Jelaskan bagaimana load balancing round-robin mendistribusikan permintaan yang masuk ke beberapa server.
